"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"1971","Lost Ark","Feb 11, 2022","Free","N/A (N/A)","50,000,000 .. 100,000,000","18:43 (25:20)","Smilegate RPG","Amazon Games"
"1974","New World: Aeternum","Sep 28, 2021","$59.99","N/A (N/A)","50,000,000 .. 100,000,000","40:06 (54:45)","Amazon Games","Amazon Games"
"1977","PUBG: BATTLEGROUNDS","Dec 21, 2017","Free","N/A (N/A)","50,000,000 .. 100,000,000","13:51 (06:10)","PUBG Corporation","KRAFTON, Inc."
"5","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","08:58 (13:37)","Grinding Gear Games","Grinding Gear Games"
"22","War Thunder","Aug 15, 2013","Free","N/A (N/A/81%)","20,000,000 .. 50,000,000","12:48 (05:01)","Gaijin Entertainment","Gaijin Network Ltd"
"27","Fall Guys: Ultimate Knockout","Aug 3, 2020","N/A","N/A (N/A/80%)","20,000,000 .. 50,000,000","06:36 (14:21)","Mediatonic","Ravenscourt"
"58","ARK: Survival Evolved","Aug 27, 2017","$14.99","N/A (N/A/70%)","20,000,000 .. 50,000,000","29:39 (35:30)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA"
"63","Rust","Feb 8, 2018","$39.99","N/A (N/A/69%)","20,000,000 .. 50,000,000","20:49 (10:40)","Facepunch Studios","Facepunch Studios"
"1975","NARAKA: BLADEPOINT","Aug 11, 2021","Free","N/A (N/A)","20,000,000 .. 50,000,000","10:34 (07:50)","24 Entertainment","NetEase Games Global"
"13","SMITE","Sep 8, 2015","Free","N/A (N/A/83%)","10,000,000 .. 20,000,000","02:08 (01:25)","Titan Forge Games","Hi-Rez Studios"
"14","Paladins","May 8, 2018","Free","N/A (N/A/83%)","10,000,000 .. 20,000,000","06:01 (03:49)","Evil Mojo Games","Hi-Rez Studios"
"21","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","06:06 (05:51)","Wargaming Group Limited","Wargaming Group Limited"
"57","Z1 Battle Royale","Feb 28, 2018","Free","N/A (N/A/70%)","10,000,000 .. 20,000,000","00:00 (00:00)","Daybreak Game Company","Daybreak Game Company"
"775","Trove","Jul 9, 2015","N/A","N/A (N/A)","10,000,000 .. 20,000,000","30:27 (30:24)","gamigo US Inc.","gamigo US Inc."
"776","Ring of Elysium","Sep 19, 2018","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Aurora Studio","TCH Scarlet Limited"
"777","Robocraft","Aug 24, 2017","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Freejam","Freejam"
"778","Heroes & Generals","Oct 18, 2016","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","TLM Partners","TLM Partners"
"779","World of Tanks Blitz","Nov 9, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","07:29 (09:42)","Wargaming Group Limited","Wargaming Group Limited"
"780","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","13:47 (10:36)","VRChat Inc.","VRChat Inc."
"1845","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
"6","STAR WARS: The Old Republic","Dec 20, 2011","Free","N/A (N/A/85%)","5,000,000 .. 10,000,000","11:28 (15:22)","Broadsword","Electronic Arts"
"10","PlanetSide 2","Nov 20, 2012","Free","N/A (N/A/84%)","5,000,000 .. 10,000,000","03:36 (02:19)","Rogue Planet Games","Daybreak Game Company"
"24","Black Desert","May 24, 2017","$9.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","03:26 (02:17)","Pearl Abyss","Pearl Abyss"
"26","The Elder Scrolls Online","May 22, 2017","$19.99","N/A (N/A/80%)","5,000,000 .. 10,000,000","14:43 (35:14)","ZeniMax Online Studios","Bethesda Softworks"
"44","Neverwinter","Dec 5, 2013","Free","N/A (N/A/74%)","5,000,000 .. 10,000,000","01:15 (00:29)","Cryptic Studios","Arc Games"
"754","Infestation: The New Z","Nov 22, 2016","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","Fredaikis AB","OP Productions LLC"
"760","APB Reloaded","Dec 6, 2011","Free","N/A (N/A)","5,000,000 .. 10,000,000","01:26 (01:39)","Little Orbit","Little Orbit"
"763","Counter-Strike Nexon: Studio","Oct 7, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","02:52 (01:54)","Valve, NEXON","NEXON"
"764","The Cycle","Jun 8, 2022","N/A","N/A (N/A)","5,000,000 .. 10,000,000","00:00 (00:00)","YAGER","YAGER"
"767","Russian Fishing 4","Nov 10, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","39:24 (45:02)","FishSoft LLC","FishSoft LLC"
"770","Business Tour - Board Game with Online Multiplayer","Jul 27, 2017","Free","N/A (N/A)","5,000,000 .. 10,000,000","01:51 (02:30)","8Floor","8Floor"
"774","World of Tanks","Apr 28, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","24:14 (22:12)","Wargaming Group Limited","Wargaming Group Limited"
"1969","Path of Exile 2","Dec 6, 2024","$29.99","N/A (N/A)","5,000,000 .. 10,000,000","22:16 (14:36)","Grinding Gear Games","Grinding Gear Games"
"1976","DayZ","Dec 13, 2018","$49.99","N/A (N/A)","5,000,000 .. 10,000,000","29:50 (23:09)","Bohemia Interactive","Bohemia Interactive"
"1","Guild Wars 2","Aug 23, 2022","Free","N/A (N/A/90%)","2,000,000 .. 5,000,000","00:32 (00:14)","ArenaNet®","NCSOFT"
"3","EVE Online","May 6, 2003","Free","N/A (N/A/88%)","2,000,000 .. 5,000,000","02:21 (02:20)","CCP","CCP"
"4","The Lord of the Rings Online","Jun 6, 2012","Free","N/A (N/A/86%)","2,000,000 .. 5,000,000","74:23 (24:47)","Standing Stone Games","Daybreak Game Company LLC"
"9","RIFT","Oct 24, 2013","Free","N/A (N/A/84%)","2,000,000 .. 5,000,000","00:00 (00:00)","gamigo US Inc.","gamigo US Inc."
"12","FINAL FANTASY XIV Online","Feb 18, 2014","$19.99","N/A (N/A/83%)","2,000,000 .. 5,000,000","32:50 (48:35)","Square Enix","Square Enix"
"17","Chivalry 2","Jun 12, 2022","$39.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","02:46 (02:51)","Torn Banner Studios","Tripwire Presents"
"18","Realm of the Mad God Exalt","Feb 20, 2012","Free","N/A (N/A/82%)","2,000,000 .. 5,000,000","18:36 (01:37)","Wild Shadow Studios, Deca Live Operations GmbH","Deca Live Operations GmbH"
