"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"17248","Lost Ark","Feb 11, 2022","Free","N/A (N/A)","50,000,000 .. 100,000,000","18:43 (25:20)","Smilegate RPG","Amazon Games"
"17251","New World: Aeternum","Sep 28, 2021","$59.99","N/A (N/A)","50,000,000 .. 100,000,000","40:06 (54:45)","Amazon Games","Amazon Games"
"17254","Palworld","Jan 18, 2024","$29.99","N/A (N/A)","50,000,000 .. 100,000,000","11:15 (06:13)","Pocketpair","Pocketpair"
"17256","Black Myth: Wukong","Aug 19, 2024","$59.99","N/A (N/A)","50,000,000 .. 100,000,000","05:06 (01:34)","Game Science","Game Science"
"3","Baldur's Gate 3","Aug 3, 2023","$59.99","N/A (N/A/96%)","20,000,000 .. 50,000,000","13:47 (06:30)","Larian Studios","Larian Studios"
"10","ELDEN RING","Feb 24, 2022","$59.99","N/A (N/A/94%)","20,000,000 .. 50,000,000","06:47 (02:59)","FromSoftware, Inc.","FromSoftware, Inc., Bandai Namco Entertainment"
"49","Stardew Valley","Feb 26, 2016","$14.99","N/A (N/A/89%)","20,000,000 .. 50,000,000","07:50 (03:21)","ConcernedApe","ConcernedApe"
"93","Path of Exile","Oct 23, 2013","Free","N/A (N/A/86%)","20,000,000 .. 50,000,000","08:58 (13:37)","Grinding Gear Games","Grinding Gear Games"
"95","Cyberpunk 2077","Dec 9, 2020","$59.99","N/A (N/A/86%)","20,000,000 .. 50,000,000","08:17 (04:12)","CD PROJEKT RED","CD PROJEKT RED"
"177","Don't Starve Together","Apr 21, 2016","$14.99","N/A (N/A/83%)","20,000,000 .. 50,000,000","05:45 (01:37)","Klei Entertainment","Klei Entertainment"
"178","Terraria","May 16, 2011","$9.99","N/A (N/A/83%)","20,000,000 .. 50,000,000","12:55 (02:16)","Re-Logic","Re-Logic"
"320","Last Epoch","Feb 21, 2024","$34.99","N/A (N/A/80%)","20,000,000 .. 50,000,000","16:41 (14:02)","Eleventh Hour Games","Eleventh Hour Games"
"356","PAYDAY 2","Aug 13, 2013","$9.99","N/A (N/A/79%)","20,000,000 .. 50,000,000","24:34 (05:00)","OVERKILL - a Starbreeze Studio.","Starbreeze Publishing AB"
"685","ARK: Survival Evolved","Aug 27, 2017","$14.99","N/A (N/A/70%)","20,000,000 .. 50,000,000","29:39 (35:30)","Studio Wildcard, Instinct Games, Efecto Studios, Virtual Basement LLC","Studio Wildcard, Snail Games USA"
"708","Rust","Feb 8, 2018","$39.99","N/A (N/A/69%)","20,000,000 .. 50,000,000","20:49 (10:40)","Facepunch Studios","Facepunch Studios"
"17255","Valheim","Feb 2, 2021","$19.99","N/A (N/A)","20,000,000 .. 50,000,000","09:10 (05:28)","Iron Gate AB","Coffee Stain Publishing"
