"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"24","Stardew Valley","Feb 26, 2016","$14.99","N/A (N/A/89%)","20,000,000 .. 50,000,000","07:50 (03:21)","ConcernedApe","ConcernedApe"
"102","Don't Starve Together","Apr 21, 2016","$14.99","N/A (N/A/83%)","20,000,000 .. 50,000,000","05:45 (01:37)","Klei Entertainment","Klei Entertainment"
"103","The Forest","Apr 30, 2018","$19.99","N/A (N/A/83%)","20,000,000 .. 50,000,000","01:35 (00:56)","Endnight Games Ltd","Endnight Games Ltd"
"148","War Thunder","Aug 15, 2013","Free","N/A (N/A/81%)","20,000,000 .. 50,000,000","12:48 (05:01)","Gaijin Entertainment","Gaijin Network Ltd"
"19380","Garry's Mod","Nov 29, 2006","$9.99","N/A (N/A)","20,000,000 .. 50,000,000","08:15 (01:38)","Facepunch Studios","Valve"
"57","Cities: Skylines","Mar 10, 2015","$29.99","N/A (N/A/85%)","10,000,000 .. 20,000,000","10:39 (03:58)","Colossal Order Ltd.","Paradox Interactive"
"146","World of Warships","Nov 15, 2017","Free","N/A (N/A/81%)","10,000,000 .. 20,000,000","06:06 (05:51)","Wargaming Group Limited","Wargaming Group Limited"
"193","Euro Truck Simulator 2","Oct 12, 2012","$19.99","N/A (N/A/79%)","10,000,000 .. 20,000,000","05:43 (01:52)","SCS Software","SCS Software"
"246","Mount & Blade II: Bannerlord","Oct 25, 2022","$49.99","N/A (N/A/77%)","10,000,000 .. 20,000,000","13:46 (10:18)","TaleWorlds Entertainment","TaleWorlds Entertainment"
"329","Arma 3","Sep 12, 2013","$37.99","N/A (N/A/74%)","10,000,000 .. 20,000,000","06:28 (06:04)","Bohemia Interactive","Bohemia Interactive"
"435","Human Fall Flat","Jul 22, 2016","$5.99","N/A (N/A/70%)","10,000,000 .. 20,000,000","01:23 (02:15)","No Brakes Games","Curve Games"
"789","Robocraft","Aug 24, 2017","N/A","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Freejam","Freejam"
"790","World of Tanks Blitz","Nov 9, 2016","Free","N/A (N/A)","10,000,000 .. 20,000,000","07:29 (09:42)","Wargaming Group Limited","Wargaming Group Limited"
"791","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","13:47 (10:36)","VRChat Inc.","VRChat Inc."
"18222","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
"19368","鬼谷八荒 Tale of Immortal","May 26, 2023","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","09:32 (09:12)","鬼谷工作室","鬼谷工作室, Lightning Games"
"19370","The Sims 4","Sep 2, 2014","Free","N/A (N/A)","10,000,000 .. 20,000,000","03:45 (05:45)","Maxis","Electronic Arts"
"19374","Sons Of The Forest","Feb 22, 2024","$29.99","N/A (N/A)","10,000,000 .. 20,000,000","03:52 (03:56)","Endnight Games Ltd","Newnight"
"19377","Raft","Jun 20, 2022","$19.99","N/A (N/A)","10,000,000 .. 20,000,000","11:56 (14:32)","Redbeet Interactive","Axolot Games"
"19378","7 Days to Die","Jul 25, 2024","$44.99","N/A (N/A)","10,000,000 .. 20,000,000","17:00 (19:03)","The Fun Pimps","The Fun Pimps Entertainment LLC"
