"#","Game","Release date","Price","Score rank(Userscore / Metascore)","Owners","Playtime (Median)","Developer(s)","Publisher(s)"
"55","Fall Guys: Ultimate Knockout","Aug 3, 2020","N/A","N/A (N/A/80%)","20,000,000 .. 50,000,000","06:36 (14:21)","Mediatonic","Ravenscourt"
"13","Rocket League","Jul 7, 2015","N/A","N/A (N/A/86%)","10,000,000 .. 20,000,000","06:21 (03:03)","Psyonix LLC","Psyonix LLC"
"450","VRChat","Feb 1, 2017","Free","N/A (N/A)","10,000,000 .. 20,000,000","13:47 (10:36)","VRChat Inc.","VRChat Inc."
"4034","Street Warriors Online","Dec 16, 2016","$1.99","N/A (N/A)","10,000,000 .. 20,000,000","00:00 (00:00)","Crazy Rocks Studios","Crazy Rocks Studios"
"15","Assetto Corsa","Dec 19, 2014","$4.99","N/A (N/A/85%)","5,000,000 .. 10,000,000","04:29 (01:33)","Kunos Simulazioni","Kunos Simulazioni"
"19","Football Manager 2020","Nov 19, 2019","N/A","N/A (N/A/84%)","5,000,000 .. 10,000,000","00:44 (00:26)","Sports Interactive","SEGA"
"81","NBA 2K20","Sep 6, 2019","N/A","N/A (N/A/74%)","5,000,000 .. 10,000,000","02:25 (01:32)","Visual Concepts","2K"
"445","RaceRoom Racing Experience","Feb 12, 2013","N/A","N/A (N/A)","5,000,000 .. 10,000,000","01:06 (00:22)","KW Studios","KW Studios, RaceRoom Entertainment AG"
"447","theHunter Classic","Jun 3, 2014","Free","N/A (N/A)","5,000,000 .. 10,000,000","00:04 (00:02)","Expansive Worlds, Avalanche Studios","Expansive Worlds, Avalanche Studios"
"448","Russian Fishing 4","Nov 10, 2021","Free","N/A (N/A)","5,000,000 .. 10,000,000","39:24 (45:02)","FishSoft LLC","FishSoft LLC"
"4186","EA SPORTS FC 24","Sep 28, 2023","$69.99","N/A (N/A)","5,000,000 .. 10,000,000","02:30 (03:18)","EA Canada, EA Romania","Electronic Arts"
"4188","EA SPORTS FIFA 23","Sep 30, 2022","N/A","N/A (N/A)","5,000,000 .. 10,000,000","06:26 (05:05)","EA Canada & EA Romania","Electronic Arts"
"4190","theHunter: Call of the Wild","Feb 16, 2017","$19.99","N/A (N/A)","5,000,000 .. 10,000,000","08:34 (06:24)","Expansive Worlds","Avalanche Studios"
"4191","Forza Horizon 5","Nov 8, 2021","$29.99","N/A (N/A)","5,000,000 .. 10,000,000","04:21 (01:06)","Playground Games","Xbox Game Studios"
"12","DiRT Rally","Dec 7, 2015","N/A","N/A (N/A/86%)","2,000,000 .. 5,000,000","00:00 (00:00)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac)","Codemasters, Feral Interactive (Linux), Feral Interactive (Mac), Electronic Arts"
"14","Football Manager 2022","Nov 9, 2021","N/A","N/A (N/A/85%)","2,000,000 .. 5,000,000","02:31 (00:50)","Sports Interactive","SEGA"
"20","SpeedRunners","Apr 19, 2016","$14.99","N/A (N/A/84%)","2,000,000 .. 5,000,000","01:11 (01:41)","DoubleDutch Games","tinyBuild"
"34","TEKKEN 7","Jun 1, 2017","$9.99","N/A (N/A/82%)","2,000,000 .. 5,000,000","01:49 (01:09)","BANDAI NAMCO Studios Inc.","BANDAI NAMCO Entertainment"
"53","Football Manager 2017","Nov 3, 2016","N/A","N/A (N/A/80%)","2,000,000 .. 5,000,000","00:00 (00:00)","Sports Interactive","SEGA"
"74","NBA 2K19","Sep 10, 2018","N/A","N/A (N/A/76%)","2,000,000 .. 5,000,000","00:00 (00:00)","Visual Concepts","2K"
"93","Need for Speed Heat","Jun 4, 2020","$6.99","N/A (N/A/72%)","2,000,000 .. 5,000,000","02:25 (01:50)","Ghost Games","Electronic Arts"
"130","F1 2015","Jul 9, 2015","N/A","N/A (N/A/61%)","2,000,000 .. 5,000,000","00:00 (00:00)","Codemasters, Feral Interactive (Linux)","Codemasters, Feral Interactive (Linux)"
"401","Party Jousting","Mar 1, 2016","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","vikingfabian","vikingfabian"
"440","S.K.I.L.L. - Special Force 2 (Shooter)","Sep 12, 2013","N/A","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","Dragonfly GF Co., LTD","Space Budgie"
"442","Freestyle 2: Street Basketball","Apr 1, 2015","Free","N/A (N/A)","2,000,000 .. 5,000,000","00:00 (00:00)","JOYCITY","JOYCITY"
"449","Fishing Planet","Aug 11, 2015","Free","N/A (N/A)","2,000,000 .. 5,000,000","02:24 (04:07)","Fishing Planet LLC","Fishing Planet LLC"
